Dataset 1,,,,Dataset 2,,,
700 C,,800 C,,700 C,,800 C,
1.04E-03,1.11E+00,0.00E+00,1.09E+00,5.12E-04,1.09E+00,0.00E+00,1.07E+00
7.51E-02,9.88E-01,7.51E-02,1.01E+00,1.02E-01,1.02E+00,1.01E-01,1.02E+00
1.33E-01,9.09E-01,1.33E-01,9.66E-01,2.03E-01,9.51E-01,2.01E-01,9.94E-01
1.92E-01,8.36E-01,1.93E-01,9.25E-01,3.04E-01,9.01E-01,3.02E-01,9.55E-01
2.52E-01,7.68E-01,2.52E-01,8.79E-01,4.05E-01,8.41E-01,4.03E-01,9.25E-01
3.12E-01,7.07E-01,3.11E-01,8.38E-01,5.06E-01,7.99E-01,5.03E-01,9.06E-01
3.71E-01,6.51E-01,3.71E-01,7.96E-01,6.01E-01,7.59E-01,6.04E-01,8.78E-01
4.31E-01,6.02E-01,4.31E-01,7.56E-01,7.08E-01,7.12E-01,7.05E-01,8.50E-01
4.90E-01,5.56E-01,4.89E-01,7.23E-01,8.04E-01,6.76E-01,8.06E-01,8.25E-01
5.35E-01,5.17E-01,5.48E-01,6.87E-01,9.05E-01,6.42E-01,9.06E-01,8.09E-01
,,6.09E-01,6.51E-01,1.01E+00,6.08E-01,1.01E+00,7.85E-01
,,6.68E-01,6.10E-01,1.10E+00,5.80E-01,1.11E+00,7.65E-01
,,7.27E-01,5.68E-01,1.20E+00,5.48E-01,1.21E+00,7.46E-01
,,7.76E-01,5.25E-01,1.30E+00,5.16E-01,1.31E+00,7.26E-01
,,,,1.41E+00,4.88E-01,1.41E+00,7.10E-01
,,,,1.50E+00,4.58E-01,1.51E+00,6.94E-01
,,,,1.61E+00,4.29E-01,1.61E+00,6.71E-01
,,,,1.70E+00,4.11E-01,1.70E+00,6.59E-01
,,,,1.81E+00,3.85E-01,1.79E+00,6.45E-01
,,,,1.91E+00,3.63E-01,1.90E+00,6.29E-01
,,,,2.00E+00,3.39E-01,2.00E+00,6.13E-01
,,,,2.10E+00,3.13E-01,2.10E+00,5.96E-01
,,,,,,2.20E+00,5.80E-01
,,,,,,2.30E+00,5.64E-01
,,,,,,2.41E+00,5.50E-01
,,,,,,2.51E+00,5.36E-01
,,,,,,2.61E+00,5.19E-01
,,,,,,2.71E+00,5.03E-01
,,,,,,2.81E+00,4.87E-01
,,,,,,2.91E+00,4.73E-01
,,,,,,3.01E+00,4.59E-01
,,,,,,3.11E+00,4.46E-01
,,,,,,3.20E+00,4.30E-01
,,,,,,3.30E+00,4.14E-01
,,,,,,3.40E+00,4.04E-01
,,,,,,3.50E+00,3.86E-01
,,,,,,3.60E+00,3.71E-01
,,,,,,3.70E+00,3.55E-01
,,,,,,3.80E+00,3.31E-01
,,,,,,3.90E+00,3.17E-01